timestamp,block_number,wallet_balance_wei,factory_markets_count,run_phase
2026-05-20T15:16:55Z,10886353,368445166931044,1,polling
2026-05-20T15:18:59Z,10886363,368445166931044,1,polling
2026-05-20T15:21:02Z,10886373,368445166931044,1,polling
2026-05-20T15:23:05Z,10886381,368445166931044,1,polling
2026-05-20T15:25:09Z,10886390,368445166931044,1,polling
2026-05-20T15:27:12Z,10886399,368445166931044,1,polling
2026-05-20T15:29:16Z,10886408,368445166931044,1,polling
2026-05-20T15:31:19Z,10886416,368445166931044,1,polling
2026-05-20T15:33:23Z,10886426,368445166931044,1,polling
2026-05-20T15:35:29Z,10886436,368445166931044,1,polling
2026-05-20T15:37:32Z,10886445,368445166931044,1,polling
2026-05-20T15:39:36Z,10886454,368445166931044,1,polling
2026-05-20T15:41:39Z,10886463,368445166931044,1,polling
2026-05-20T15:43:44Z,10886472,368445166931044,1,polling
2026-05-20T15:45:47Z,10886481,368445166931044,1,polling
2026-05-20T15:47:50Z,10886491,368445166931044,1,polling
2026-05-20T15:49:54Z,10886501,368445166931044,1,polling
2026-05-20T15:51:57Z,10886508,368445166931044,1,polling
2026-05-20T15:54:01Z,10886516,368445166931044,1,polling
2026-05-20T15:56:04Z,10886525,368445166931044,1,polling
2026-05-20T15:58:10Z,10886535,368445166931044,1,polling
2026-05-20T16:00:13Z,10886544,368445166931044,1,polling
2026-05-20T16:02:16Z,10886554,368445166931044,1,polling
2026-05-20T16:04:20Z,10886562,368445166931044,1,polling
2026-05-20T16:06:24Z,10886572,368445166931044,1,polling
2026-05-20T16:08:28Z,10886580,368445166931044,1,polling
2026-05-20T16:10:33Z,10886590,368445166931044,1,polling
2026-05-20T16:12:36Z,10886598,368445166931044,1,polling
2026-05-20T16:14:40Z,10886608,368445166931044,1,polling
2026-05-20T16:16:44Z,10886618,368445166931044,1,polling
2026-05-20T16:18:49Z,10886628,368445166931044,1,polling
2026-05-20T16:20:52Z,10886636,368445166931044,1,polling
2026-05-20T16:22:56Z,10886645,368445166931044,1,polling
2026-05-20T16:24:59Z,10886652,368445166931044,1,polling
2026-05-20T16:27:03Z,10886661,368445166931044,1,polling
2026-05-20T16:29:06Z,10886669,368445166931044,1,polling
2026-05-20T16:31:11Z,10886675,368445166931044,1,polling
2026-05-20T16:33:14Z,10886684,368445166931044,1,polling
2026-05-20T16:35:18Z,10886691,368445166931044,1,polling
2026-05-20T16:37:22Z,10886699,368445166931044,1,polling
2026-05-20T16:39:25Z,10886709,368445166931044,1,polling
2026-05-20T16:41:30Z,10886717,368445166931044,1,polling
2026-05-20T16:43:34Z,10886725,368445166931044,1,polling
2026-05-20T16:45:37Z,10886736,368445166931044,1,polling
2026-05-20T16:47:41Z,10886745,368445166931044,1,polling
2026-05-20T16:49:45Z,10886755,368445166931044,1,polling
2026-05-20T16:51:49Z,10886761,368445166931044,1,polling
2026-05-20T16:53:52Z,10886768,368445166931044,1,polling
2026-05-20T16:55:56Z,10886777,368445166931044,1,polling
2026-05-20T16:57:59Z,10886786,368445166931044,1,polling
2026-05-20T17:00:02Z,10886795,368445166931044,1,polling
2026-05-20T17:02:12Z,10886805,368445166931044,1,polling
2026-05-20T17:04:16Z,10886815,368445166931044,1,polling
2026-05-20T17:06:19Z,10886823,368445166931044,1,polling
